dt,WS,WD,Month,hours,dayofyear,target
2018-01-01 00:00:00,5.506867806116735,267.1186319986977,1,0,1,390.4803619384761
2018-01-01 01:00:00,5.644204934438064,258.9455464680985,1,1,1,460.5371246337888
2018-01-01 02:00:00,6.452037493387852,268.39746602376283,1,2,1,733.6553751627598
2018-01-01 03:00:00,6.811455170313514,256.014765421549,1,3,1,909.3620808919264
2018-01-01 04:00:00,7.748749176661168,247.6524683634435,1,4,1,1393.5181884765582
2018-01-01 05:00:00,7.236853679021195,243.84634908040317,1,5,1,1149.5991617838483
2018-01-01 06:00:00,7.183671077092484,246.11740112304636,1,6,1,1100.0743916829408
2018-01-01 07:00:00,6.804743289947505,232.75543467203715,1,7,1,928.242818196613
2018-01-01 08:00:00,5.984985589981073,226.96721140543568,1,8,1,614.6530914306637
2018-01-01 09:00:00,5.984971602757767,215.4005177815752,1,9,1,671.5084075927731
2018-01-01 10:00:00,5.661419153213494,231.9427668253575,1,10,1,521.6255467732743
2018-01-01 11:00:00,4.300018668174738,228.2273991902665,1,11,1,184.18243153889927
2018-01-01 12:00:00,3.89771934350331,230.337315877278,1,12,1,127.32581774393708
2018-01-01 13:00:00,5.768450657526649,236.79041544596305,1,13,1,534.6637980143223
2018-01-01 14:00:00,7.815421819686885,236.6029663085935,1,14,1,1329.200195312498
2018-01-01 15:00:00,9.393976370493553,230.40431467692017,1,15,1,2157.786315917965
2018-01-01 16:00:00,9.920463879903153,227.82618204752552,1,16,1,2468.40266927083
2018-01-01 17:00:00,8.74777205785115,218.15730285644483,1,17,1,1908.866475423172
2018-01-01 18:00:00,10.193800608317,209.52009836832613,1,18,1,2455.367838541664
2018-01-01 19:00:00,11.307126681009867,200.46783192952432,1,19,1,3034.5698649088536
2018-01-01 20:00:00,11.479263305664018,197.523200988769,1,20,1,3205.916341145832
2018-01-01 21:00:00,13.14499823252355,202.319297790527,1,21,1,3595.563476562498
2018-01-01 22:00:00,12.765325069427432,201.5945002237953,1,22,1,3515.073323567705
2018-01-01 23:00:00,12.797096570332783,198.716420491536,1,23,1,3454.7325032552067
2018-01-02 00:00:00,7.44031159083048,211.72081247965437,1,0,2,1128.5579935709632
2018-01-02 01:00:00,9.712796052296929,204.97856394449815,1,1,2,2217.882812499997
2018-01-02 02:00:00,12.207264900207468,201.61350250244095,1,2,2,3420.0246175130183
2018-01-02 03:00:00,13.854803244272832,203.1721979777012,1,3,2,3602.569702148435
2018-01-02 04:00:00,14.7356616655985,202.67064666748,1,4,2,3603.543131510413
2018-01-02 05:00:00,15.949815432230563,200.4042663574213,1,5,2,3603.4878336588536
2018-01-02 06:00:00,16.1536614100138,202.06058756510384,1,6,2,3603.18566894531
2018-01-02 07:00:00,15.441096782684284,197.9237162272132,1,7,2,3599.33829752604
2018-01-02 08:00:00,13.7322848637898,195.5126673380528,1,8,2,3519.06905110677
2018-01-02 09:00:00,13.195799986521353,192.00714874267533,1,9,2,3499.9804687499964
2018-01-02 10:00:00,13.714656511942485,189.2900670369463,1,10,2,3562.8100179036437
2018-01-02 11:00:00,12.608145078023218,202.1579310099278,1,11,2,3446.222330729163
2018-01-02 12:00:00,14.2854050000508,206.71743011474567,1,12,2,3591.6504720052067
2018-01-02 13:00:00,12.435015042622815,206.23361460367812,1,13,2,3475.116129557288
2018-01-02 14:00:00,11.914156754811566,213.4214019775387,1,14,2,3392.2321370442664
2018-01-02 15:00:00,14.527361710866233,214.29010264078715,1,15,2,3597.8303629557267
2018-01-02 16:00:00,15.517583370208683,213.7772318522132,1,16,2,3602.706990559895
2018-01-02 17:00:00,17.957546869913717,205.012817382812,1,17,2,3602.32832845052
2018-01-02 18:00:00,18.425035158793065,193.24821472167932,1,18,2,3602.3490804036437
2018-01-02 19:00:00,16.98427677154535,193.41803487141863,1,19,2,3602.7493082682267
2018-01-02 20:00:00,17.97719160715732,196.4922841389972,1,20,2,3584.9785156249964
2018-01-02 21:00:00,19.399336496988884,196.836069742838,1,21,2,3602.9568684895817
2018-01-02 22:00:00,21.241159756978305,200.9056803385412,1,22,2,3602.5046793619767
2018-01-02 23:00:00,19.50432332356765,197.98151906331336,1,23,2,3602.2296549479147
2018-01-03 00:00:00,4.814182798067724,35.41747824350987,1,0,3,0.0
2018-01-03 01:00:00,6.0517828464508,20.49830500284825,1,1,3,0.0
2018-01-03 02:00:00,5.294879436492914,19.073531468709284,1,2,3,0.0
2018-01-03 03:00:00,3.824909885724381,28.92377233505245,1,3,3,0.0
2018-01-03 04:00:00,3.7350398302078216,44.57016563415522,1,4,3,0.0
2018-01-03 05:00:00,3.8064498504002846,37.19810644785559,1,5,3,0.0
2018-01-03 06:00:00,3.2733824650446515,61.162485758463504,1,6,3,0.0
2018-01-03 07:00:00,1.379726370175674,59.51278750101719,1,7,3,0.0
2018-01-03 08:00:00,1.7504345675309458,135.4728387196856,1,8,3,0.0
2018-01-03 09:00:00,3.4159058729807463,203.7220001220697,1,9,3,0.0
2018-01-03 10:00:00,3.770584543546037,195.1778996785475,1,10,3,0.0
2018-01-03 11:00:00,4.498540798823034,196.80363464355435,1,11,3,0.0
2018-01-03 12:00:00,3.52007945378621,192.95706939697217,1,12,3,0.0
2018-01-03 13:00:00,4.264252583185827,187.89544932047465,1,13,3,0.0
2018-01-03 14:00:00,5.211758454640701,187.10548655192017,1,14,3,0.0
2018-01-03 15:00:00,6.174487670262649,199.3108520507808,1,15,3,0.0
2018-01-03 16:00:00,8.880004247029618,203.1963017781572,1,16,3,815.6694234212224
2018-01-03 17:00:00,9.35165150960286,209.4838460286455,1,17,3,2046.206217447913
2018-01-03 18:00:00,10.387931823730424,200.9491984049473,1,18,3,2670.93282063802
2018-01-03 19:00:00,11.155906836191749,206.22758483886665,1,19,3,3214.87170410156
2018-01-03 20:00:00,12.2146967252095,208.7428639729812,1,20,3,3457.1780192057267
2018-01-03 21:00:00,13.183128356933551,210.61883799234965,1,21,3,3575.3431396484334
2018-01-03 22:00:00,14.176603476206417,197.27799987792932,1,22,3,3464.7373860677067
2018-01-03 23:00:00,14.953030109405468,194.08594767252552,1,23,3,3460.4815266927067
2018-01-04 00:00:00,18.634230295817,192.74860127766863,1,0,4,3603.23783365885
2018-01-04 01:00:00,19.840284983317016,189.52158355712848,1,1,4,3602.88684082031
2018-01-04 02:00:00,19.8244517644246,192.07123057047485,1,2,4,3603.1894938151017
2018-01-04 03:00:00,19.470230102539016,186.7331314086912,1,3,4,3603.3118082682263
2018-01-04 04:00:00,20.14906152089432,184.98249816894483,1,4,4,3602.61466471354
2018-01-04 05:00:00,18.991999944051084,182.0086847941077,1,5,4,3601.986328124998
2018-01-04 06:00:00,18.22021484374995,180.171732584635,1,6,4,3602.829345703125
2018-01-04 07:00:00,18.65162690480541,182.9535319010413,1,7,4,3602.74153645833
2018-01-04 08:00:00,18.640820185343383,182.75513458251885,1,8,4,3602.2666829427067
2018-01-04 09:00:00,16.555518627166684,183.061815897623,1,9,4,3599.721354166663
2018-01-04 10:00:00,16.00331989924108,191.35883331298768,1,10,4,3531.236124674475
2018-01-04 11:00:00,16.645424683888717,199.92211914062432,1,11,4,3560.1639811197897
2018-01-04 12:00:00,18.4535319010416,199.81659952799436,1,12,4,3602.832356770832
2018-01-04 13:00:00,16.086688359578385,206.585929870605,1,13,4,3598.5981445312464
2018-01-04 14:00:00,18.367968559265083,221.24068196614533,1,14,4,3603.22717285156
2018-01-04 15:00:00,17.073643366495716,225.27616628011012,1,15,4,1921.9670410156232
2018-01-04 16:00:00,14.623748461405384,228.554684956868,1,16,4,1078.4970296223948
2018-01-04 17:00:00,13.133180141448918,230.1363830566403,1,17,4,3416.6392822265584
2018-01-04 18:00:00,11.136071840921998,244.79153442382767,1,18,4,1271.8656819661437
2018-01-04 19:00:00,9.65789016087848,272.6360371907547,1,19,4,1065.6469930013
2018-01-04 20:00:00,9.42987712224324,274.7044067382807,1,20,4,1363.706858317055
2018-01-04 21:00:00,10.609677632649698,270.697901407877,1,21,4,2830.9345296223933
2018-01-04 22:00:00,8.898736874262477,262.6625315348305,1,22,4,1378.5433146158823
2018-01-04 23:00:00,6.881448348363235,236.8557510375972,1,23,4,1032.0894978841131
2018-01-05 00:00:00,5.127723058064773,298.80066426595016,1,0,5,242.176132202148
2018-01-05 01:00:00,4.051744977633152,282.52381896972616,1,1,5,94.31073125203436
2018-01-05 02:00:00,4.1017626921335815,277.6210479736323,1,2,5,92.64494788646668
2018-01-05 03:00:00,3.71670043468475,281.2440999348955,1,3,5,58.35801887512201
2018-01-05 04:00:00,4.069902062416072,302.128819783528,1,4,5,58.22928619384762
2018-01-05 05:00:00,3.020866195360816,326.85206604003866,1,5,5,11.00753691792486
2018-01-05 06:00:00,1.70767199993133,311.8949534098302,1,6,5,0.0
2018-01-05 07:00:00,1.87759552399317,267.25100962320914,1,7,5,0.0
2018-01-05 08:00:00,1.7453008294105468,250.9959335327143,1,8,5,0.0
2018-01-05 09:00:00,1.8254846533139484,275.7398325602208,1,9,5,0.0
2018-01-05 10:00:00,1.5282188753286956,286.74216206868454,1,10,5,0.0
2018-01-05 11:00:00,1.859337190786993,218.447736104329,1,11,5,0.0
2018-01-05 12:00:00,1.9554719924926696,217.28818511962848,1,12,5,0.0
2018-01-05 13:00:00,1.9344751834869331,196.35600280761685,1,13,5,0.0
2018-01-05 14:00:00,3.16322267055511,198.69888051350884,1,14,5,0.0
