dt,WS,TAP,WD,Month,H,target
2018-01-01 00:00:00,5.506867806116735,2834.4133606513733,267.1186319986977,1,0,2342.882171630856
2018-01-01 01:00:00,5.644204934438062,3080.510450624452,258.9455464680985,1,1,2763.222747802733
2018-01-01 02:00:00,6.452037493387852,4730.407860405829,268.3974660237629,1,2,4401.932250976559
2018-01-01 03:00:00,6.811455170313515,5692.760077328399,256.014765421549,1,3,5456.172485351558
2018-01-01 04:00:00,7.748749176661168,8438.350772306942,247.65246836344352,1,4,8361.10913085935
2018-01-01 05:00:00,7.236853679021194,6769.166643454117,243.84634908040312,1,5,6897.59497070309
2018-01-01 06:00:00,7.183671077092484,6620.236888418081,246.1174011230464,1,6,6600.446350097644
2018-01-01 07:00:00,6.804743289947505,5625.426775937115,232.7554346720372,1,7,5569.4569091796775
2018-01-01 08:00:00,5.984985589981073,3748.929691769716,226.96721140543568,1,8,3687.9185485839816
2018-01-01 09:00:00,5.984971602757767,3782.143861039257,215.4005177815752,1,9,4029.050445556639
2018-01-01 10:00:00,5.661419153213494,3239.0169154621854,231.9427668253575,1,10,3129.7532806396457
2018-01-01 11:00:00,4.300018668174738,1100.446945785786,228.2273991902665,1,11,1105.094589233396
2018-01-01 12:00:00,3.8977193435033097,714.7750431132622,230.337315877278,1,12,763.9549064636224
2018-01-01 13:00:00,5.768450657526649,3436.893912592096,236.79041544596305,1,13,3207.982788085934
2018-01-01 14:00:00,7.815421819686885,8839.397465093029,236.6029663085935,1,14,7975.201171874987
2018-01-01 15:00:00,9.393976370493553,14294.7959170583,230.4043146769202,1,15,12946.717895507789
2018-01-01 16:00:00,9.920463879903153,16336.460123630048,227.82618204752555,1,16,14810.416015624978
2018-01-01 17:00:00,8.747772057851149,11901.17408214894,218.15730285644483,1,17,11453.198852539032
2018-01-01 18:00:00,10.193800608317002,17298.521056102123,209.52009836832613,1,18,14732.20703124998
2018-01-01 19:00:00,11.307126681009867,20109.810012451748,200.46783192952432,1,19,18207.41918945312
2018-01-01 20:00:00,11.479263305664016,20437.273875683,197.523200988769,1,20,19235.49804687499
2018-01-01 21:00:00,13.14499823252355,21597.46946747004,202.319297790527,1,21,21573.38085937499
2018-01-01 22:00:00,12.765325069427432,21541.4944935203,201.5945002237953,1,22,21090.439941406228
2018-01-01 23:00:00,12.797096570332783,21540.69121140661,198.716420491536,1,23,20728.39501953124
2018-01-02 00:00:00,7.44031159083048,7439.766564466359,211.7208124796544,1,0,6771.34796142578
2018-01-02 01:00:00,9.712796052296929,15452.43067320821,204.9785639444981,1,1,13307.29687499998
2018-01-02 02:00:00,12.207264900207468,21176.38775061418,201.61350250244087,1,2,20520.14770507811
2018-01-02 03:00:00,13.854803244272832,21600.0,203.1721979777012,1,3,21615.41821289061
2018-01-02 04:00:00,14.7356616655985,21600.0,202.67064666748,1,4,21621.25878906248
2018-01-02 05:00:00,15.949815432230563,21600.0,200.4042663574213,1,5,21620.92700195312
2018-01-02 06:00:00,16.1536614100138,21600.0,202.06058756510384,1,6,21619.11401367186
2018-01-02 07:00:00,15.441096782684284,21600.0,197.9237162272132,1,7,21596.02978515624
2018-01-02 08:00:00,13.7322848637898,21187.84654907373,195.5126673380529,1,8,21114.414306640618
2018-01-02 09:00:00,13.195799986521353,21430.82389967416,192.00714874267533,1,9,20999.88281249998
2018-01-02 10:00:00,13.714656511942485,21600.0,189.2900670369463,1,10,21376.86010742186
2018-01-02 11:00:00,12.608145078023217,21168.85084708402,202.15793100992784,1,11,20677.33398437497
2018-01-02 12:00:00,14.2854050000508,21600.0,206.71743011474564,1,12,21549.90283203124
2018-01-02 13:00:00,12.435015042622815,21353.424777308574,206.2336146036781,1,13,20850.69677734373
2018-01-02 14:00:00,11.914156754811566,20991.21679251441,213.4214019775387,1,14,20353.3928222656
2018-01-02 15:00:00,14.527361710866233,21600.0,214.29010264078715,1,15,21586.98217773436
2018-01-02 16:00:00,15.517583370208682,21600.0,213.7772318522132,1,16,21616.241943359368
2018-01-02 17:00:00,17.957546869913717,21600.0,205.012817382812,1,17,21613.96997070312
2018-01-02 18:00:00,18.425035158793065,21600.0,193.2482147216793,1,18,21614.09448242186
2018-01-02 19:00:00,16.98427677154535,21600.0,193.41803487141863,1,19,21616.49584960936
2018-01-02 20:00:00,17.97719160715732,21600.0,196.4922841389972,1,20,21509.87109374998
2018-01-02 21:00:00,19.399336496988884,21600.0,196.836069742838,1,21,21617.741210937493
2018-01-02 22:00:00,21.2411597569783,21600.0,200.9056803385412,1,22,21615.02807617186
2018-01-02 23:00:00,19.50432332356765,21600.0,197.98151906331336,1,23,21613.37792968749
2018-01-03 16:00:00,8.880004247029618,12429.001238047813,203.1963017781572,1,16,4894.016540527335
2018-01-03 17:00:00,9.35165150960286,14218.22700812879,209.4838460286455,1,17,12277.237304687478
2018-01-03 18:00:00,10.387931823730424,17955.57479920958,200.9491984049473,1,18,16025.59692382812
2018-01-03 19:00:00,11.155906836191749,19841.25685893668,206.2275848388667,1,19,19289.23022460936
2018-01-03 20:00:00,12.2146967252095,21045.38589735113,208.7428639729812,1,20,20743.06811523436
2018-01-03 21:00:00,13.183128356933551,21583.79099555595,210.61883799234965,1,21,21452.058837890603
2018-01-03 22:00:00,14.176603476206417,21600.0,197.2779998779293,1,22,20788.42431640624
2018-01-03 23:00:00,14.953030109405466,21600.0,194.08594767252552,1,23,20762.88916015624
2018-01-04 00:00:00,18.634230295817,21600.0,192.74860127766863,1,0,21619.4270019531
2018-01-04 01:00:00,19.84028498331702,21600.0,189.52158355712848,1,1,21617.32104492186
2018-01-04 02:00:00,19.8244517644246,21600.0,192.07123057047485,1,2,21619.13696289061
2018-01-04 03:00:00,19.470230102539016,21600.0,186.7331314086912,1,3,21619.87084960936
2018-01-04 04:00:00,20.14906152089432,21600.0,184.98249816894483,1,4,21615.68798828124
2018-01-04 05:00:00,18.991999944051084,21600.0,182.0086847941077,1,5,21611.91796874999
2018-01-04 06:00:00,18.22021484374995,21600.0,180.171732584635,1,6,21616.97607421875
2018-01-04 07:00:00,18.65162690480541,21600.0,182.9535319010413,1,7,21616.44921874997
2018-01-04 08:00:00,18.640820185343383,21600.0,182.7551345825188,1,8,21613.600097656243
2018-01-04 09:00:00,16.55551862716668,21600.0,183.0618158976229,1,9,21598.32812499998
