dt,WS,WD,Month,H,dayofyear,target
2018-06-08 17:00:00,8.345326900482172,47.00562349955237,6,17,159,1505.8881632486934
2018-06-08 18:00:00,8.640747070312493,53.57319386800125,6,18,159,1660.4350382486948
2018-06-08 19:00:00,9.25070015589396,62.009478251139264,6,19,159,1933.893839518225
2018-06-08 20:00:00,9.904808680216435,64.43213526407872,6,20,159,2224.9768473307267
2018-06-08 21:00:00,9.74440972010293,66.9282830556233,6,21,159,2133.3069661458317
2018-06-08 22:00:00,9.948101520538286,71.06634521484371,6,22,159,2206.164998372395
2018-06-08 23:00:00,9.67228778203328,71.94346491495766,6,23,159,2081.943847656248
2018-06-09 00:00:00,2.7402530113855934,182.24006561438227,6,0,160,14.497556050618483
2018-06-09 01:00:00,4.469751358032222,181.80905715624473,6,1,160,152.24271647135382
2018-06-09 02:00:00,7.0148874282836875,122.28563547134374,6,2,160,8.85257568359374
2018-06-09 03:00:00,5.656625986099239,290.318160374959,6,3,160,418.7893422444657
2018-06-09 04:00:00,3.841020623842869,342.0710856119786,6,4,160,135.32317924499483
2018-06-09 05:00:00,3.492876986662543,296.844100952148,6,5,160,56.68203775087991
2018-06-09 06:00:00,4.9388412634531615,306.78669230143186,6,6,160,283.1287879943844
2018-06-09 07:00:00,5.448278586069738,312.02784729003884,6,7,160,463.49654897054
2018-06-09 08:00:00,6.282021522521968,182.048461596171,6,8,160,665.3725280761715
2018-06-09 09:00:00,3.7248495221137947,76.80303764343249,6,9,160,143.9292611281073
2018-06-09 10:00:00,2.7644398212432812,174.91585882504762,6,10,160,0.8502006530761718
2018-06-09 11:00:00,2.62919418017069,288.9549535115555,6,11,160,2.752658605575545
2018-06-09 12:00:00,2.3869671622912016,265.0088322957352,6,12,160,0.0
2018-06-09 13:00:00,3.2908958196639966,253.83173116048116,6,13,160,36.650756359100335
2018-06-09 14:00:00,3.6436340411504062,243.36488533019983,6,14,160,76.80064233144111
2018-06-09 15:00:00,2.707541485627489,262.324769655863,6,15,160,8.790433066586624
2018-06-09 16:00:00,2.9024911721547384,287.8734741210932,6,16,160,1.6477848688761385
2018-06-09 17:00:00,3.2807913621266636,290.6640014648435,6,17,160,16.176147937774626
2018-06-09 18:00:00,2.86624685923258,302.0854848225907,6,18,160,4.010632594426468
2018-06-09 19:00:00,3.31323115030924,289.4538167317702,6,19,160,34.63893540700261
2018-06-09 20:00:00,5.112358649571732,271.226949055989,6,20,160,290.3990987141922
2018-06-09 21:00:00,6.381028175354,258.3103103637692,6,21,160,609.4992319742836
2018-06-09 22:00:00,7.079605738321935,247.480784098307,6,22,160,898.8058369954416
2018-06-09 23:00:00,8.52455075581868,243.80475107828715,6,23,160,1546.6460164388
2018-06-10 00:00:00,13.512726783752418,71.43678792317701,6,0,161,3589.761149088538
2018-06-10 01:00:00,12.7387550671895,72.65736389160152,6,1,161,3534.9429524739567
2018-06-10 02:00:00,12.270788192748967,75.98905690511063,6,2,161,3427.727620442705
2018-06-10 03:00:00,10.47806008656817,77.48679097493486,6,3,161,2735.16097005208
2018-06-10 04:00:00,10.967704931894891,80.67556635538732,6,4,161,2915.0824788411414
2018-06-10 05:00:00,7.4284150600433305,88.76087188720699,6,5,161,1652.2721761067685
2018-06-10 06:00:00,6.418318669001258,96.42339070638018,6,6,161,1084.8082987467412
2018-06-10 07:00:00,5.254270871480302,92.853042602539,6,7,161,510.41307067871065
2018-06-10 08:00:00,5.676336685816442,76.8303833007812,6,8,161,469.86894734700485
2018-06-10 09:00:00,6.408831040064491,64.07785987853998,6,9,161,748.7318318684867
2018-06-10 10:00:00,6.846413453419999,50.69863319396968,6,10,161,958.2854919433577
2018-06-10 11:00:00,7.746499458948766,36.79326502482092,6,11,161,1451.2622884114544
2018-06-10 12:00:00,7.936814785003656,39.03284835815425,6,12,161,1480.5877787272104
2018-06-10 13:00:00,8.850928465525293,43.1654523213704,6,13,161,1921.753499348955
2018-06-10 14:00:00,9.220944722493483,51.20289230346675,6,14,161,2116.963378906248
2018-06-10 15:00:00,9.601895809173564,59.31035168965652,6,15,161,2186.149169921872
2018-06-10 16:00:00,9.890985012054415,68.84044774373365,6,16,161,2286.00130208333
2018-06-10 17:00:00,12.262785116831417,75.23623911539707,6,17,161,3147.6636149088517
2018-06-10 18:00:00,12.381133238474467,81.20988718668615,6,18,161,3062.8789469401
2018-06-10 19:00:00,9.577441056569398,76.63183212280268,6,19,161,1972.38216145833
2018-06-10 20:00:00,6.75986814498901,75.29556401570632,6,20,161,803.4427388509097
2018-06-10 21:00:00,3.3188078403472834,88.39953231811505,6,21,161,85.71215530236525
2018-06-10 22:00:00,2.945690194765722,109.581150054931,6,22,161,11.655860980351754
2018-06-10 23:00:00,2.8513206243514966,100.22805786132773,6,23,161,0.0
2018-06-11 00:00:00,10.927274862925168,67.20731480916336,6,0,162,2863.30969238281
2018-06-11 01:00:00,10.44769096374506,66.67394256591793,6,1,162,2543.688842773435
2018-06-11 02:00:00,10.8009800910949,68.95957565307613,6,2,162,2686.7308349609366
2018-06-11 03:00:00,9.592236995697009,66.86747105916338,6,3,162,2187.0076497395817
2018-06-11 04:00:00,11.037364800771035,66.36856079101557,6,4,162,2861.5010172526036
2018-06-11 05:00:00,11.789229869842485,66.50312550862627,6,5,162,3207.74768066406
2018-06-11 06:00:00,11.213829835255888,64.83201408386225,6,6,162,2980.57930501302
2018-06-11 07:00:00,10.86774047215775,66.22770945231117,6,7,162,2779.7607828776036
2018-06-11 08:00:00,10.653896172841351,61.26818656921382,6,8,162,2663.608886718748
2018-06-11 09:00:00,11.260773499806666,59.77132034301752,6,9,162,2967.6859944661433
2018-06-11 10:00:00,10.858719984690302,57.267110188802036,6,10,162,2822.7761637369786
2018-06-11 11:00:00,11.000611782073934,58.410792032877545,6,11,162,2904.92932128906
2018-06-11 12:00:00,10.404326279958047,56.07017517089838,6,12,162,2591.8667195638
2018-06-11 13:00:00,10.098337332407585,56.19370333353674,6,13,162,2433.743652343748
2018-06-11 14:00:00,9.642310619354225,56.9874362945556,6,14,162,2291.8436686197897
2018-06-11 15:00:00,10.79639212290443,59.45427513122555,6,15,162,2864.56233723958
2018-06-11 16:00:00,10.902222156524624,58.10894966125483,6,16,162,2879.1728108723933
2018-06-11 17:00:00,11.305373350779169,58.531695048014264,6,17,162,3043.640502929687
2018-06-11 18:00:00,10.769755999247176,55.224372227986635,6,18,162,2810.5676676432267
2018-06-11 19:00:00,10.892771879831914,57.154972076415966,6,19,162,2881.13802083333
2018-06-11 20:00:00,10.954131603240917,59.35797309875483,6,20,162,2890.480346679685
2018-06-11 21:00:00,10.250869909922233,60.49542999267573,6,21,162,2546.3361409505183
2018-06-11 22:00:00,9.00668303171793,62.1857496897379,6,22,162,1964.0219523111948
2018-06-11 23:00:00,8.621686697006222,60.46961275736485,6,23,162,1744.612182617185
2018-06-12 00:00:00,15.193350156148218,14.717923641204768,6,0,163,3601.2911783854147
2018-06-12 01:00:00,14.911776542663533,16.69009860356645,6,1,163,3598.8046468098914
2018-06-12 02:00:00,15.164281845092717,17.647483666737816,6,2,163,3601.174886067705
2018-06-12 03:00:00,15.917740027109732,18.42086474100745,6,3,163,3600.889526367185
2018-06-12 04:00:00,16.308763186136833,21.02390829722083,6,4,163,3600.952311197913
2018-06-12 05:00:00,16.96113824844355,21.1346054077148,6,5,163,3600.071777343748
2018-06-12 06:00:00,16.942457040150916,19.876101493835417,6,6,163,3599.7515055338517
2018-06-12 07:00:00,15.705181757609,21.011658350626586,6,7,163,2951.3230387369767
2018-06-12 08:00:00,15.591891606648716,23.530824661254837,6,8,163,2374.1793619791647
2018-06-12 09:00:00,16.57479699452715,20.465076764424566,6,9,163,2582.082316080725
2018-06-12 10:00:00,15.562860171000098,19.250273386637318,6,10,163,3001.875162760413
2018-06-12 11:00:00,14.29969501495355,19.583573659261017,6,11,163,3453.267822265623
2018-06-12 12:00:00,13.919951597849499,18.933281898498482,6,12,163,3294.2737223307267
2018-06-12 13:00:00,13.7006085713704,20.2822014490763,6,13,163,3413.264648437498
2018-06-12 14:00:00,14.40552822748815,20.4471085866292,6,14,163,3226.530151367187
